image,year,car_name,kms_driven,fuel,mode,price(lakhs),area,city
https://images10.gaadi.com/usedcar_image/3943511/original/processed_b30f0709df9e2e2e42b00b14c80d13e0.jpg?imwidth=420,2018,Toyota,"40,000",Diesel,Automatic,19.95,Goregaon West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Toyota,"51,000",Diesel,Manual,37.49,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3930805/original/76a81a7fac3a5464394f20d8937bf48b.jpg?imwidth=420,2020,Kia,"27,000",Petrol,Manual,10.95,Bandra West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Maruti,"29,150",Petrol,Automatic,10.0,Mulund West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,"55,000",Petrol,Manual,4.89,Chembur, Mumbai
https://images10.gaadi.com/usedcar_image/3676327/original/d3d045c09c9b2bb86e48b147e84b7d3c.png?imwidth=420,2018,Honda,"31,834",Petrol,Manual,7.5,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3604203/original/3bc7902dea553d551308fe94693b3d68.png?imwidth=420,2018,Toyota,"78,156",Petrol,Manual,7.5,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3943390/original/processed_4c5dea6ed336141b4358d0193da83496.jpg?imwidth=420,2022,Tata,"23,000",Petrol,Manual,8.0,Matunga West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Hyundai,"16,125",Petrol,Manual,2.95,Borivali West, Mumbai
https://images10.gaadi.com/usedcar_image/3939201/original/processed_81e600d6bf28f750dfc3a7fe2f3a2bcd.jpg?imwidth=420,2017,Maruti,"22,500",Diesel,Manual,8.0,Chembur, Mumbai
https://images10.gaadi.com/usedcar_image/3932308/original/processed_5813427515119c176e2f40dc48d6e1f9.jpg?imwidth=420,2009,Honda,"59,400",Petrol,Manual,2.25,Santacruz(west) S.o, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Hyundai,"79,000",Diesel,Automatic,12.25,Vitthalwadi, Thane
https://images10.gaadi.com/usedcar_image/3909698/original/processed_7b67e85b3e0ffc8dc1c9bf9a6d09e26d.jpeg?imwidth=420,2016,Mercedes-Benz,"52,000",Diesel,Automatic,38.56,Andheri East, Mumbai
